cD disk - LS-1971,,cD hexagonal - LS-1971,,cD branched - LS-1971,,cD stellarplate - LS-1971,,cD dendrite - LS-1971,,cD stellar - LS-1971,,Be disk - LS-1971,,Be hexagonal - LS-1971,,Be branched - LS-1971,,Be stellarplate - LS-1971,,Be dendrite - LS-1971,,Be stellar - LS-1971,
0.253444617,96.20851454,0.177560169,151.9221286,0.188895512,164.2864429,0.126335979,390.291054,0.120606297,488.8921821,0.128305736,656.9360591,0.180328584,0.454392158,0.200954498,0.567326687,0.180328584,0.617164691,0.132337863,0.649479958,0.1082273,0.712384519,0.111628443,0.915716714
0.262760931,94.20086351,0.185995577,145.2830305,0.196344707,156.9067445,0.132337863,368.3833231,0.125039636,466.3258484,0.134401198,628.2275161,0.188895512,0.470023547,0.210501308,0.583779722,0.188895512,0.638395563,0.138624881,0.670066714,0.113368889,0.738821898,0.116931612,0.954683513
0.269624382,89.62183326,0.193330411,139.4850849,0.204087664,150.2512157,0.137556677,352.7575716,0.130306205,444.7913832,0.136496704,602.427,0.197869433,0.487466641,0.220501662,0.603862128,0.197869433,0.66035679,0.145210578,0.696754573,0.118754742,0.770261233,0.12248672,1.005781621
0.282433515,85.25790982,0.200954498,133.2194561,0.213783322,143.309622,0.142981297,335.1530947,0.136496704,424.242058,0.142981297,580.641102,0.20726968,0.504235814,0.230977106,0.623002922,0.20726968,0.683073498,0.152109144,0.722611907,0.123916253,0.791576193,0.128305736,1.054083396
0.293571429,81.64151671,0.208879244,128.4059901,0.223939596,136.6887293,0.14861984,319.679561,0.142981297,403.5845932,0.147474617,553.8519538,0.217116508,0.521581858,0.24195021,0.646123251,0.217116508,0.706571675,0.159335443,0.751392572,0.130306205,0.832840062,0.134401198,1.104704821
0.302797184,78.48858049,0.217116508,122.4776713,0.234578367,129.0161478,0.153290356,307.333768,0.14861984,389.0023333,0.153290356,534.5392113,0.227431132,0.539524617,0.253444617,0.666603608,0.227431132,0.730878206,0.166905043,0.783366831,0.136496704,0.866010966,0.139701381,1.144241163
0.314738151,75.75169434,0.225678612,117.2825239,0.245722557,123.3780563,0.159335443,293.1446124,0.154480742,372.014905,0.159335443,511.8656093,0.238235776,0.559546973,0.265485092,0.68953521,0.238235776,0.76197951,0.174834255,0.812438442,0.142981297,0.9052284,0.145210578,1.194533621
0.327150016,72.82382413,0.234578367,112.3077396,0.257396178,116.7577686,0.16561892,280.7102687,0.160572771,359.5128897,0.166905043,484.3996424,0.24955372,0.583357562,0.278097579,0.713255675,0.24955372,0.786132196,0.183140162,0.847010406,0.149773956,0.941282435,0.152109144,1.248628252
0.340051349,69.4616535,0.243829088,107.1226537,0.269624382,111.3635693,0.172150189,266.7013349,0.166905043,343.8132424,0.172150189,464.4754096,0.26140935,0.603425446,0.29130925,0.739725383,0.26140935,0.815306433,0.191840661,0.878443901,0.156889316,0.98133714,0.15995291,1.306859939
0.356206279,65.90668643,0.251491644,102.5821947,0.282433515,105.3879616,0.180328584,253.0518692,0.174834255,330.5136872,0.178939023,449.4538456,0.273828208,0.624183678,0.305148573,0.769187654,0.273828208,0.85000044,0.200954498,0.918224362,0.164342707,1.020422484,0.16561892,1.358977448
